date,name,restaurant,etudiant,doctorant,campus,visiteur,vegetarian
2022-01-03,Arrancini tomate mozarella\nsauce \n Légumes au épices  ,Alpine,8.0,9.0,10.0,11.0,False
2022-01-03,Pad Thaï du Chef Noï\nSauté de légumes \ncébette,Alpine,10.5,11.0,11.5,12.5,False
2022-01-03,"Saucisse de Veau Suisse, sauce aux oignons\nCornettes au beurre\nBrocolis",Alpine,11.5,12.0,12.5,13.5,False
2022-01-03,"Gratin de rigatoni, crème de gorgonzola, champignons,                      pointes de romanesco",Arcadie,5.5,6.5,7.0,8.0,False
2022-01-03,"Mozzarella billes aux tomates séchées et câpres, caponata, semoule de blé, salade ",Arcadie,12.0,12.0,12.0,12.0,False
2022-01-03,"Galette de polenta au Gruyère, lardons et salade de saison",Le Klee by Novae,5.5,6.5,7.0,8.0,False
2022-01-03,"Joues de porc confites à la moutarde, quinoa et betteraves\n",Microcity,10.0,11.0,12.0,13.0,False
2022-01-03,"Riz Cantonais, Quorn, soja et gingembre confit \n",Microcity,10.0,11.0,12.0,13.0,False
2022-01-03,"Penne à l'ail et piments, pesto, pousses d'épinards et crumble de parmesan\n",Microcity,7.5,8.0,8.5,9.0,False
2022-01-03,"Buddha Bowl au saumon fumé, mangue et vinaigrette \n",Microcity,12.0,12.0,12.0,12.0,False
2022-01-03,"Crevettes sauvages d'Argentine au curry rouge thaï, riz basmati Bio à la citronnelle",Ornithorynque,12.0,13.0,14.0,15.0,False
2022-01-03,"Fusilli ""Grano d'oro"", brocoli, sauce tomate, roquette",Ornithorynque,5.5,6.5,7.0,8.0,False
2022-01-03,"Orni'Burger- Steak haché de bœuf 100% suisse, sauce relishProvenance: Suisse",Ornithorynque,9.0,9.5,10.0,11.0,False
2022-01-04,Penne au Pesto Rosso\nSalade du jour,Alpine,8.0,9.0,10.0,11.0,False
2022-01-04,Ravioli Gyoza\nsweet chili sauce \nRiz sauté aux légumes,Alpine,10.5,11.0,11.5,12.5,False
2022-01-04,"Ailerons de Poulet Suisse, sauce Barbecue du Chef\nCountry patatoes\ncarottesProvenance: Suisse",Alpine,12.5,13.0,13.5,14.5,False
2022-01-04,"Gratin de rigatoni, crème de gorgonzola, champignons,                      pointes de romanesco",Arcadie,5.5,6.5,7.0,8.0,False
2022-01-04,"Mozzarella billes aux tomates séchées et câpres, caponata, semoule de blé, salade ",Arcadie,12.0,12.0,12.0,12.0,False
2022-01-04,"Galette de polenta au Gruyère, lardons et salade de saison",Le Klee by Novae,5.5,6.5,7.0,8.0,False
2022-01-04,"Beignets de cabillaud,  pommes vapeur et aïoli au citron\n",Microcity,10.0,11.0,12.0,13.0,False
2022-01-04,"Dhal de lentilles, curry de légumes, papadum\n",Microcity,10.0,11.0,12.0,13.0,False
2022-01-04,"Penne à l'ail et piments, pesto, pousses d'épinards et crumble de parmesan\n",Microcity,7.5,8.0,8.5,9.0,False
2022-01-04,"Buddha Bowl au saumon fumé, mangue et vinaigrette \n",Microcity,12.0,12.0,12.0,12.0,False
2022-01-04,"Nems et samossas végétariens, nouilles aux légumes, soja et chutney de mangue ",Ornithorynque,12.0,13.0,14.0,15.0,False
2022-01-04,Fusilli à la bolognaise,Ornithorynque,5.5,6.5,7.0,8.0,False
2022-01-04,"Orni'Burger- Steak haché de bœuf 100% suisse, sauce relishProvenance: Suisse",Ornithorynque,9.0,9.5,10.0,11.0,False
2022-01-05,Palak Paneer\nSauce Epinard Massala\nRiz au curcuma ,Alpine,8.0,9.0,10.0,11.0,True
2022-01-05,"Dinde sautée, piment et basilic thaï\nRiz aux légumes",Alpine,10.5,11.0,11.5,12.5,False
2022-01-05,"Steak de Veau Suisse Pojarski, sauce au poivre vert\nPomme purée\nPanier de légumesProvenance: Suisse",Alpine,12.5,13.0,13.5,14.0,False
2022-01-05,"Gratin de rigatoni, crème de gorgonzola, champignons,                      pointes de romanesco",Arcadie,5.5,6.5,7.0,8.0,False
2022-01-05,"Mozzarella billes aux tomates séchées et câpres, caponata, semoule de blé, salade ",Arcadie,12.0,12.0,12.0,12.0,False
2022-01-05,"Macaroni du Chalet (poireaux, gruyère) végétarien",Le Klee by Novae,7.5,8.5,8.0,9.0,True
2022-01-05,"Tajine de bœuf et merguez, semoule et légumes \n",Microcity,10.0,11.0,12.0,13.0,False
2022-01-05,Pizza Florentine\n,Microcity,10.0,11.0,12.0,13.0,False
2022-01-05,"Penne à l'ail et piments, pesto, pousses d'épinards et crumble de parmesan\n",Microcity,7.5,8.0,8.5,9.0,False
2022-01-05,"Buddha Bowl au saumon fumé, mangue et vinaigrette \n",Microcity,12.0,12.0,12.0,12.0,False
2022-01-05,"Daurade et rouget au four, sauce à l'aneth et crevette rose",Ornithorynque,12.0,13.0,14.0,15.0,False
2022-01-05,"Fusilli ""Grano d'oro"", brocoli, sauce tomate, roquette",Ornithorynque,5.5,6.5,7.0,8.0,False
2022-01-05,"Orni'Burger- Steak haché de bœuf 100% suisse, sauce relishProvenance: Suisse",Ornithorynque,9.0,9.5,10.0,11.0,False
2022-01-06,Spaghetti à la Bolognaise de Bœuf Suisse\nBouquet de roquette,Alpine,8.0,9.0,10.0,11.0,False
2022-01-06,Pâtes sautées aux Légumes Asiatiques\nMix de noix et oigons frits,Alpine,10.5,11.0,11.5,12.5,False
2022-01-06,Rösti d'Alpage\nFromage de nos régions\nŒuf au plat\nSalade du moment,Alpine,11.5,12.0,12.5,13.5,False
2022-01-06,"Gratin de rigatoni, crème de gorgonzola, champignons,                      pointes de romanesco",Arcadie,5.5,6.5,7.0,8.0,False
